Aircraft,RECAT
A388,A
A380,A
A124,B
A340,B
A342,B
A343,B
A343,B
A344,B
A345,B
A346,B
A330,B
A332,B
A333,B
A338,B
A339,B
A350,B
A358,B
A359,B
A35K,B
B772,B
B773,B
B778,B
B779,B
B77L,B
B77W,B
B777,B
B741,B
B742,B
B743,B
B744,B
B748,B
B74D,B
B74R,B
B74S,B
B788,B
B789,B
B78X,B
B787,B
A306,C
A30B,C
A310,C
B762,C
B763,C
B764,C
C17,C
DC87,C
DC10,C
E3TF,C
IL76,C
IL62,C
MD11,C
TU95,C
TU22,C
A21N,D
A321,D
A20N,D
A320,D
A19N,D
A319,D
A318,D
AN70,D
B752,D
B753,D
B757,D
B739,D
B738,D
B737,D
B739,D
B38M,D
B39M,D
B3XM,D
B721,D
B722,D
B727,D
C130,D
C160,D
C30J,D
MD81,D
MD82,D
MD83,D
MD87,D
MD88,D
MD80,D
MD90,D
T204,D
AN32,E
AN72,E
B735,E
B734,E
B733,E
B732,E
DHC7,E
DH8D,E
E190,E
E195,E
F100,E
F70,E
GLEX,E
GLF5,E
GLF6,E
GL5T,E
AT43,F
AT45,F
AT46,F
AT72,F
AT73,F
AT75,F
AT76,F
B461,F
B462,F
B463,F
CL60,F
CRJ1,F
CRJ2,F
CRJ7,F
CRJ9,F
CRJX,F
DH8A,F
DH8B,F
DH8C,F
E35L,F
E135,F
E145,F
E170,F
F900,F
F15,F
F16,F
F22,F
FA7X,F
FA8X,F
GLF2,F
GLF3,F
GLF4,F
RJ1H,F
RJ85,F
SF34,F
AT8T,G
ASTR,G
B190,G
BE10,G
BE20,G
BE40,G
BE9L,G
B350,G
C172,G
C208,G
C550,G
C560,G
C56X,G
C650,G
C680,G
C750,G
CL30,G
CL35,G
C25B,G
DHC6,G
D328,G
DA40,G
DA42,G
DA62,G
E50P,G
FA20,G
FA50,G
F2TH,G
G150,G
GALX,G
HAWK,G
H25B,G
H25C,G
HA4T,G
J328,G
LJ60,G
M339,G
MIR2,G
PC12,G
P28A,G
SR22,G
WW24,G
TBM900,G
C152,G
